aX,aY,aZ,gX,gY,gZ
2.45,-1.482,9.627,0.007,0.012,0.015
2.45,-1.523,9.576,0.011,0.014,0.018
2.486,-1.552,9.588,0.006,0.015,0.025
2.462,-1.567,9.598,0.01,0.005,0.026
2.465,-1.58,9.612,-0.007,0.01,0.028
2.454,-1.567,9.622,-0.012,0.007,0.03
2.469,-1.533,9.605,-0.004,-0.001,0.028
2.451,-1.526,9.601,-0.009,0.008,0.031
2.453,-1.552,9.572,-0.004,0.006,0.028
2.429,-1.564,9.644,0.005,0,0.019
2.444,-1.58,9.63,0.009,-0.004,0.014
2.46,-1.555,9.631,0.012,-0.008,0.006
2.424,-1.51,9.641,-0.005,0.003,0.006
2.422,-1.528,9.632,0.006,-0.014,0.001
2.396,-1.525,9.624,-0.006,-0.001,-0.003
2.443,-1.552,9.627,-0.004,-0.004,-0.004
2.427,-1.52,9.627,-0.002,-0.008,-0.002
2.442,-1.502,9.652,-0.01,0,0.009
2.436,-1.527,9.625,-0.003,-0.007,0.012
2.414,-1.518,9.638,-0.01,0.001,0.011
2.416,-1.49,9.635,-0.005,-0.003,0.004
2.407,-1.479,9.553,-0.012,0.005,0.009
2.413,-1.452,9.605,-0.011,0.008,0.01

2.417,-1.428,9.583,0.001,0.012,0.01
2.403,-1.432,9.543,-0.004,0.027,0.013
2.445,-1.469,9.576,0.006,0.021,0.012
2.438,-1.501,9.585,0.004,0.018,0.011
2.455,-1.519,9.634,0.011,0.004,0.006
2.428,-1.473,9.666,-0.006,0.017,0.015
2.427,-1.477,9.628,-0.003,0.013,0.016
2.452,-1.486,9.655,-0.004,0.014,0.016
2.454,-1.49,9.625,0.003,0.008,0.012
2.46,-1.499,9.613,0.003,0.005,0.008
2.472,-1.493,9.65,0.002,0.005,0.007
2.467,-1.491,9.605,0,0.005,0.006
2.476,-1.452,9.645,-0.003,0.005,0.007
2.453,-1.45,9.623,-0.001,0.004,0.002
2.465,-1.442,9.641,0.001,0.008,0
2.455,-1.445,9.639,0.002,0.007,-0.001
2.456,-1.435,9.679,-0.002,0.005,-0.004
2.468,-1.458,9.627,-0.005,0,-0.002
2.442,-1.431,9.633,-0.015,0.008,0.003
2.403,-1.392,9.608,-0.014,0.009,0.005
2.454,-1.391,9.623,0,-0.002,0.01
2.418,-1.366,9.648,0.002,-0.001,0.013
2.447,-1.374,9.663,0.009,-0.009,0.012
2.441,-1.383,9.647,0.001,-0.005,0.012
2.436,-1.421,9.584,-0.009,0.003,0.012
2.444,-1.426,9.602,-0.011,0.001,0.013
2.416,-1.431,9.573,-0.015,0.002,0.009
2.436,-1.435,9.607,-0.009,0.003,0.007
2.441,-1.472,9.562,0.001,0.004,0.01
2.467,-1.481,9.589,0.003,0.002,0.006
2.453,-1.491,9.568,-0.004,0.003,0.012
2.45,-1.452,9.58,0.004,-0.011,0.009
2.464,-1.491,9.527,-0.001,-0.008,0.004
2.461,-1.489,9.516,-0.003,-0.008,-0.001
2.436,-1.478,9.525,-0.003,-0.005,-0.007
2.464,-1.483,9.539,-0.004,-0.001,-0.006
2.453,-1.46,9.543,0.009,-0.008,-0.011
2.458,-1.461,9.512,0.015,-0.011,-0.009
2.45,-1.465,9.526,0.017,-0.01,-0.007
2.468,-1.447,9.525,0.013,-0.005,-0.009
2.458,-1.47,9.544,0.011,-0.009,-0.009
2.461,-1.473,9.53,0.003,-0.005,-0.004
2.485,-1.433,9.585,0.005,-0.006,-0.003
2.51,-1.414,9.602,0.003,0.004,-0.002
2.484,-1.399,9.596,0.009,0.002,-0.001
2.47,-1.39,9.642,0.013,0,0
2.483,-1.404,9.65,0.011,0.005,0.003
2.482,-1.415,9.673,0.016,-0.001,-0.001
2.46,-1.391,9.647,0.003,0.012,0
2.487,-1.375,9.659,0.007,0.01,0.001
2.461,-1.398,9.65,0.001,0.015,0.004
2.468,-1.416,9.694,0.002,0.013,0.004
2.445,-1.407,9.697,-0.001,0.01,0.01
2.439,-1.411,9.689,-0.009,0.018,0.015
2.451,-1.378,9.734,0.002,0.008,0.016
2.472,-1.42,9.686,0,0.009,0.017
2.451,-1.454,9.712,-0.004,0.009,0.016
2.448,-1.501,9.662,0.002,0.001,0.011
2.441,-1.477,9.695,-0.001,0.001,0.007
2.458,-1.473,9.651,0.005,-0.012,0.01
2.458,-1.48,9.671,-0.002,-0.007,0.011
2.463,-1.503,9.616,0.001,-0.005,0.006
2.435,-1.507,9.611,0.006,-0.009,0
2.416,-1.496,9.573,-0.006,-0.006,0
2.444,-1.483,9.603,0.004,-0.017,-0.003
2.458,-1.464,9.575,-0.006,-0.006,-0.002
2.422,-1.454,9.548,0,-0.015,-0.002
2.431,-1.448,9.551,0.005,-0.018,-0.006
2.422,-1.431,9.529,0.005,-0.012,-0.011
2.428,-1.404,9.521,0.005,-0.014,-0.01
2.426,-1.41,9.526,-0.006,-0.004,-0.004
2.436,-1.407,9.585,0.002,-0.009,-0.01
2.407,-1.386,9.494,0.006,-0.013,-0.01
2.419,-1.371,9.572,-0.01,0.008,-0.005
2.445,-1.365,9.558,-0.004,0.003,0
2.47,-1.376,9.57,-0.001,0.003,-0.002
2.449,-1.379,9.558,-0.007,0.015,0.001
2.463,-1.372,9.546,0.003,0.007,-0.001
2.476,-1.377,9.587,0.001,0.009,0.004
2.49,-1.387,9.576,0.002,0.007,0.002
2.472,-1.41,9.57,0,0.013,-0.001
2.483,-1.384,9.558,0.005,0.012,-0.002
2.487,-1.401,9.633,0,0.017,0.003
2.493,-1.414,9.636,0.007,0.009,0
2.494,-1.424,9.687,-0.002,0.008,-0.003
2.475,-1.434,9.643,0.002,-0.002,-0.002
2.462,-1.425,9.643,-0.001,0.003,-0.003
2.466,-1.439,9.565,0.009,-0.006,-0.006
2.487,-1.437,9.632,0.015,-0.007,-0.007
2.491,-1.451,9.614,0.02,-0.007,-0.005
2.485,-1.463,9.654,0.022,-0.01,-0.004
2.461,-1.484,9.666,0.014,-0.009,-0.009
2.486,-1.482,9.645,0.001,-0.005,-0.01
2.481,-1.464,9.644,0.002,-0.01,-0.007
2.477,-1.445,9.623,-0.004,0,-0.005
2.493,-1.433,9.64,-0.005,0.007,-0.006
2.487,-1.465,9.618,0.002,-0.002,-0.003
2.509,-1.47,9.679,0.008,-0.01,0.001
2.487,-1.471,9.658,0.004,-0.008,-0.001
2.495,-1.437,9.672,-0.004,-0.002,0
2.485,-1.412,9.584,-0.015,0.005,0.003
2.524,-1.416,9.64,-0.018,0.008,0.002
2.521,-1.425,9.637,-0.006,0,-0.001
2.478,-1.414,9.625,-0.001,-0.003,-0.009

2.406,-1.31,9.639,-0.009,0.004,-0.007
2.425,-1.306,9.683,0.001,-0.006,-0.008
2.422,-1.308,9.634,-0.004,0.001,-0.01
2.421,-1.288,9.673,-0.007,0.01,-0.005
2.432,-1.319,9.675,0.006,0.002,-0.007
2.449,-1.34,9.67,0.005,0.001,-0.007
2.441,-1.3,9.663,-0.009,0.008,-0.002
2.427,-1.283,9.638,-0.009,0.002,-0.003
2.424,-1.274,9.636,-0.012,0.003,-0.002
2.444,-1.3,9.628,-0.004,-0.003,-0.007
2.456,-1.329,9.607,-0.014,0.014,-0.005
2.436,-1.299,9.627,-0.006,0.009,-0.006
2.404,-1.298,9.55,-0.004,0.01,-0.004
2.426,-1.301,9.583,0.003,0.002,0
2.437,-1.29,9.582,0.005,0.002,-0.002
2.422,-1.288,9.597,-0.001,0.006,0.003
2.424,-1.291,9.61,-0.007,0.011,0.007
